amount	unit	drinkId	ingredientForDrinkId	ingredientId
2	OZ	75	286	49
1	PC	75	287	43
1	OZ	75	288	73
2	OZ	44	293	50
1	OZ	44	294	39
0.75	OZ	44	295	31
0.5	OZ	44	296	74
1	OZ	44	297	75
1	PC	44	298	76
1	BARSPOON	44	299	77
1	OZ	76	300	58
1	PC	76	301	46
2	DASH	76	302	37
2	OZ	76	303	47
0.5	OZ	77	304	72
1.5	OZ	77	305	47
0.25	OZ	77	306	78
3	DASH	77	307	68
1	DASH	77	308	37
1	WASH	77	309	66
1	PC	77	310	43
1	OZ	78	311	58
1	OZ	78	312	50
1	OZ	78	313	64
1	PC	78	314	41
1.5	OZ	79	315	64
1.5	OZ	79	316	58
3	OZ	79	317	75
1	PC	79	318	41
2	OZ	43	319	32
0.5	OZ	43	320	40
3	OZ	43	321	80
2	OZ	51	322	49
0.25	OZ	51	323	82
0.75	OZ	51	324	39
0.75	OZ	51	325	28
1.5	ML	45	326	66
4.5	DASH	45	327	83
1	OZ	46	328	66
3	OZ	46	329	83
0.25	OZ	46	330	39
0.25	OZ	46	331	78
2	OZ	50	332	84
0.5	OZ	50	333	39
0.5	OZ	50	334	40
0.75	OZ	50	335	78
0.5	OZ	50	336	74
3	DROP	50	337	37
0.5	OZ	80	338	45
1.5	OZ	80	339	38
0.5	OZ	80	340	74
0.75	OZ	80	341	39
3	DROP	80	342	37
1	PC	80	343	43
4.5	OZ	81	344	80
1	PC	81	345	1
1.5	OZ	81	346	53
1.5	OZ	82	347	72
0.5	OZ	82	348	39
1	OZ	82	349	61
1	PC	82	350	43
1	PC	82	351	86
0.75	OZ	83	352	50
0.75	OZ	83	354	87
0.75	OZ	83	355	62
0.75	OZ	83	356	39
1	WASH	83	357	66
1.5	OZ	84	358	66
2.5	OZ	84	359	75
0.5	OZ	84	360	39
0.75	OZ	84	361	88
0.75	OZ	85	362	40
0.5	OZ	85	363	45
2	OZ	85	364	51
1	OZ	85	365	75
2	PC	85	366	89
1.25	OZ	86	367	91
1.25	OZ	86	368	32
1	PC	86	369	92
1	PC	86	370	46
1	OZ	86	371	93
0.25	OZ	86	372	39
0.25	OZ	86	373	90
3	PART	87	374	95
3	PART	87	375	94
1	PART	87	376	90
1	PART	87	377	42
0.1	PART	87	378	69
1	PC	87	379	41
1	PC	87	380	92
1.5	OZ	88	381	50
0.75	OZ	88	382	40
0.75	OZ	88	383	96
2	DROP	88	384	37
3	PC	89	385	95
3	PC	89	386	94
1	PC	89	387	90
1	PC	89	388	42
0.1	PC	89	389	69
1	PC	89	390	41
1	PC	89	391	92
20	PC	90	392	46
1.5	OZ	92	393	51
0.75	OZ	92	394	40
0.75	OZ	92	395	31
2	OZ	93	396	51
1	OZ	93	397	31
0.5	OZ	93	398	40
4	PC	93	399	100
1	PC	93	400	101
2	OZ	94	401	51
0.5	OZ	94	402	31
0.5	OZ	94	403	40
4	PC	94	404	100
1	PC	94	405	101
1500	ML	95	406	102
750	ML	95	407	40
1250	ML	95	408	103
1000	ML	95	409	32
